FECHAINGRESO	CODIGOCARROCERIA	CARROCERIADESCRIPCION	
2026/04/09 12:01:07	119	MEZCLADOR	
2026/03/26 15:51:48	334	COMPACTADOR DE BASURAS	
2026/03/19 12:21:38	109	RECOLECTOR COMPACTADOR	
2026/01/19 09:30:57	220	GRUA HIDRAULICA	
2025/10/30 15:18:30	95	EQUIPO DE CEMENTACION Ó BOMBA DE HORMIGON	
2025/10/15 10:13:17	308	PORTAMODULOS PARA GAS	
2025/10/09 15:31:22	101	GRUA DE SOSTENIMIENTO DE REDES	
2025/09/18 08:53:10	224	DOBLE CABINA ESTACAS	
2025/09/03 10:02:40	110	TANQUE FRAC TANK	
2025/08/04 14:29:50	345	SILO GRANELERO	
2025/08/04 14:22:58	86	TANQUE (GRANELERO)	
2025/07/10 16:28:31	301	FURGON CON EQUIPO ESPECIAL	
2025/07/10 16:20:32	253	CISTERNA SILO CILINDRICO	
2025/06/16 17:01:53	113	PLATAFORMA MODULAR	
2025/06/14 15:04:23	292	TANQUE DE LODOS	
2025/05/19 14:00:05	247	FURGON CORTINERO	
2025/05/13 14:42:37	331	PLANCHÓN CON GRÚA	
2025/05/12 11:43:02	248	CISTERNA PARA COMBUSTIBLE	
2025/05/12 11:41:11	249	CISTERNA PARA QUIMICOS	
2025/05/12 11:32:40	250	CISTERNA PARA ACIDO SULFURICO	
2025/05/02 16:29:17	314	CAMABAJA CON EQUIPO ESPECIAL	
2025/04/22 16:47:08	333	PLATAFORMA BARANDAS DESMONTABLES	
2025/04/20 08:26:04	286	PLATAFORMA CON ESTACAS METALICAS	
2025/04/04 15:37:43	104	EQUIPO DE LAVADO Y SUCCION	
2025/04/04 14:28:05	298	PLATAFORMA MODULAR CARBONERA	
2025/04/01 21:09:14	336	PICK UP (PICO) SENCILLA	
2025/04/01 21:08:34	241	PICK UP CABINADA	
2025/04/01 19:49:39	91	CAMA ALTA	
2025/03/31 07:02:02	325	BAGACERO	
2025/03/28 12:16:07	88	EQUIPO ESPECIAL DEL SECTOR PETROLERO	
2025/03/31 07:02:33	90	CAMABAJA BAGACERO	
2025/03/21 08:39:06	320	CAMA CUNA	
2025/03/20 13:28:54	337	VOLCO DESMONTABLE	
2025/03/19 10:52:13	291	TOLVA PIPA CEMENTERA	
2025/03/17 09:30:14	290	VOLCO - PLATON	
2025/03/11 11:48:51	22	CARPADO	
2025/03/05 11:33:02	287	PLATAFORMA CON ESTACAS REMOVIBLES	
2025/03/01 17:02:04	100	GRUA AEREA	
2025/02/28 08:52:40	316	NIÑERA MULTIPROPOSITO	
2025/02/28 08:44:08	246	FURGON FRIGORIFICO	
2025/02/27 19:20:28	219	GRUA PLANCHON	
2025/03/21 08:39:59	276	PLANCHON PLATAFORMA	
2025/02/26 16:57:34	122	FURGON REFRIGERADO	
2025/02/26 10:59:40	299	CISTERNA	
2025/02/26 10:53:39	293	PLATAFORMA BARANDAS DESARMABLES	
2025/02/21 15:42:33	231	PORTA CONTENEDOR	
2025/02/21 13:03:51	285	PLATAFORMA CON ESTACAS DESMONTABLES	
2025/09/26 14:39:02	284	PLATAFORMA CON ESTACAS	
2025/02/21 12:50:09	38	PLATAFORMA	
2025/02/21 12:45:39	7	SRS	
2025/02/21 12:44:22	9	SEDAN	
2025/02/21 12:39:17	80	TANQUETA	
2024/12/31 14:13:54	31	LIMPIA ALCANTARILLAS	
2022/09/21 15:34:09	42	EQUIPO DE LAVADO	
2021/10/14 07:18:13	13	PLATON	
2021/05/25 12:28:02	275	PLATAFORMA CON EQUIPO ESPECIAL	
2020/10/31 19:45:16	79	VAN	
2020/07/31 22:05:12	237	CAÑERO	
2020/01/30 16:02:29	230	GRANELERA	
2019/08/26 09:28:09	309	MODULAR	
2019/04/22 12:21:03	8	CERRADA	
2017/12/19 10:10:03	98	EQUIPO PETROLERO	
2017/08/02 10:11:03	11	BOTELLERO	
2017/05/26 11:50:49	21	CABINADO	
2017/05/18 17:23:02	201	ARTICULADO	
2021/10/14 07:14:10	25	DOBLE CABINA	
2017/05/18 16:14:31	312	MULTIPROPOSITO	
2025/04/01 21:07:51	12	PICK UP	
2017/03/22 14:09:15	319	CARBONERA	
2017/10/25 10:32:53	103	EQUIPO IRRIGADOR DE ASFALTO	
2025/04/04 15:36:46	102	EQUIPO IRRIGADOR DE AGUA	
2020/10/31 19:47:50	295	VOLQUETE	
2017/02/21 16:24:36	527	FRACTURADOR	
2016/09/28 15:21:55	501	FRAC TANK	
2016/06/14 14:18:05	29	BOMBA	
2015/06/26 09:02:47	813	PLATAFORMA	
2015/03/24 10:14:30	484	CARROTALLER	
2015/03/19 11:59:45	512	CAMPAMENTO	
2014/12/01 21:45:56	33	PANEL	
2011/05/15 00:00:00	69	CAMABAJA	
2011/08/17 10:33:14	217	PLANCHON	
2011/08/17 10:25:13	18	NIÑERA	
2011/08/17 10:24:33	16	GRUA	
2011/08/17 10:23:20	14	HORMIGONERO	
2011/08/17 10:22:46	10	ESTIBAS	
2011/08/17 10:21:59	231	PORTACONTENEDORES	
2025/08/05 07:52:54	218	REPARTO Ó PALET	
2018/04/10 15:26:09	6	RECOLECTOR COMPACTADOR	
2018/04/10 15:25:13	5	TOLVA	
2011/04/15 12:11:51	4	VOLCO	
2017/10/23 15:23:35	3	CISTERNA O TANQUE	
2011/04/15 12:10:09	2	FURGON	
2011/04/15 12:09:57	1	ESTACAS	
2025/03/28 09:04:51	0	SIN CARROCERIA	
